%time,field.x,field.y,field.z
1903000000,0.0,0.0,0.0
2319000000,0.0,0.0,0.0
2798000000,0.0,0.0,0.0
3195000000,0.0,0.0,0.0
3627000000,0.0,0.0,0.0
4085000000,0.0,0.0,0.0
4541000000,0.0,0.0,0.0
5000000000,0.0,0.0,0.0
5514000000,0.0,0.0,0.0
5934000000,0.0,0.0,0.0
6376000000,0.0,0.0,0.0
6801000000,0.0,0.0,0.0
7216000000,0.0,0.0,0.0
7625000000,0.0,0.0,0.0
8039000000,0.0,0.0,0.0
8439000000,0.0,0.0,0.0
8826000000,0.0,0.0,0.0
9211000000,0.0,0.0,0.0
9634000000,0.0,0.0,0.0
10101000000,0.0,0.0,0.0
10503000000,0.0,0.0,0.0
10975000000,0.0,0.0,0.0
11378000000,0.0,0.0,0.0
11810000000,0.0,0.0,0.0
12257000000,0.0,0.0,0.0
12697000000,0.0,0.0,0.0
13092000000,0.0,0.0,0.0
13491000000,0.0,0.0,0.0
13910000000,0.0,0.0,0.0
14315000000,0.0,0.0,0.0
14752000000,0.0,0.0,0.0
15130000000,0.0,0.0,0.0
15565000000,0.0,0.0,0.0
15956000000,0.0,0.0,0.0
16405000000,0.0,0.0,0.0
16802000000,0.0,0.0,0.0
17291000000,0.0,0.0,0.0
17710000000,0.0,0.0,0.0
18141000000,0.0,0.0,0.0
18547000000,0.0,0.0,0.0
18977000000,0.0,0.0,0.0
19393000000,0.0,0.0,0.0
19797000000,0.0,0.0,0.0
20227000000,0.0,0.0,0.0
20673000000,0.0,0.0,0.0
21072000000,0.0,0.0,0.0
21510000000,0.0,0.0,0.0
21950000000,0.0,0.0,0.0
22317000000,0.0,0.0,0.0
22789000000,0.0,0.0,0.0
23124000000,0.0,0.0,0.0
23446000000,0.0,0.0,0.0
23792000000,0.0,0.0,0.0
24220000000,0.0,0.0,0.0
24458000000,0.0,0.0,0.0
24835000000,0.0,0.0,0.0
25157000000,0.0,0.0,0.0
25455000000,0.0,0.0,0.0
25844000000,0.0,0.0,0.0
26081000000,0.0,0.0,0.0
26447000000,0.0,0.0,0.0
26750000000,0.0,0.0,0.0
27075000000,0.0,0.0,0.0
27361000000,0.0,0.0,0.0
27757000000,0.0,0.0,0.0
28071000000,0.0,0.0,0.0
28360000000,0.0,0.0,0.0
28601000000,0.0,0.0,0.0
28957000000,0.0,0.0,0.0
29231000000,0.0,0.0,0.0
29574000000,0.0,0.0,0.0
29907000000,0.0,0.0,0.0
30209000000,0.0,0.0,0.0
30606000000,0.0,0.0,0.0
30951000000,0.0,0.0,0.0
31193000000,0.0,0.0,0.0
31482000000,0.0,0.0,0.0
31831000000,0.0,0.0,0.0
32162000000,0.0,0.0,0.0
32510000000,0.0,0.0,0.0
32772000000,0.0,0.0,0.0
33081000000,0.0,0.0,0.0
33419000000,0.0,0.0,0.0
33658000000,0.0,0.0,0.0
34039000000,0.0,0.0,0.0
34291000000,0.0,0.0,0.0
34579000000,0.0,0.0,0.0
34926000000,0.0,0.0,0.0
35279000000,0.0,0.0,0.0
35607000000,0.0,-0.1,0.0
36033000000,0.0,-0.1,0.0
36244000000,0.0,-0.1,0.0
36614000000,0.0,-0.1,0.0
36954000000,0.0,-0.1,0.0
37234000000,0.0,-0.1,0.0
37580000000,0.0,-0.1,0.0
37882000000,0.0,-0.1,0.0
38212000000,0.0,0.0,0.0
38499000000,0.0,0.0,0.0
38903000000,0.0,0.0,0.0
39197000000,0.0,0.0,0.0
39490000000,0.0,0.1,0.0
39773000000,0.0,0.1,0.0
40060000000,0.0,0.1,0.0
40418000000,0.0,0.1,0.0
40681000000,0.0,0.1,0.0
41072000000,0.0,0.1,0.0
41398000000,0.0,0.1,0.0
41717000000,0.0,0.0,0.0
41932000000,0.0,0.0,0.0
42183000000,0.0,0.0,0.0
42559000000,0.0,0.0,0.0
42872000000,0.0,0.0,0.0
43154000000,0.0,0.0,0.0
43513000000,0.0,0.0,0.0
43865000000,0.0,0.0,0.0
44166000000,0.0,0.0,0.0
44424000000,0.0,0.0,0.0
44797000000,0.0,0.0,0.0
45170000000,0.0,0.0,0.0
45484000000,0.0,0.0,0.0
