%time,field
4000000,0.0
18000000,6.64761920596e-26
25000000,-1.59387573867e-21
43000000,-3.26050305508e-22
43000000,-1.31334650749e-21
61000000,4.2057156468e-22
66000000,-2.76831665335e-23
72000000,1.20318314862e-15
88000000,1.28196619415e-15
97000000,1.3505587535e-15
116000000,1.40988544613e-15
116000000,1.46055530084e-15
127000000,1.49109972127e-15
133000000,1.41363927796e-12
144000000,2.67812428577e-12
155000000,1.04725401419e-11
162000000,-0.000751691021852
172000000,-0.00247305450781
182000000,0.00245071793833
195000000,-0.00241301024927
202000000,0.00236810114571
221000000,-0.00235087966861
238000000,0.00228422349467
238000000,-0.00227436325131
262000000,0.0510612713965
262000000,0.0462715694767
262000000,0.0404305507532
272000000,0.0419472091537
278000000,0.0379113917168
291000000,0.0344447503783
302000000,-0.0297827517102
311000000,-0.0321119344909
322000000,-0.029080367128
332000000,-0.00598493844415
343000000,-0.00398073166063
349000000,-0.00323224856106
359000000,-0.00415951989219
372000000,-0.00326716834963
380000000,-0.0418484631494
392000000,-0.041218289411
401000000,-0.036048643151
413000000,-0.0421336269165
420000000,-0.0362427861369
432000000,-0.0340871770953
435000000,-0.0305846104556
452000000,-0.0271419124191
456000000,-0.0238142347449
470000000,-0.00139442129893
487000000,0.000566036577272
487000000,0.00209458641275
500000000,0.0108761496778
509000000,0.0112898908785
520000000,0.0113628237117
527000000,0.0111655737494
536000000,0.0107597986251
536000000,0.0101987434939
559000000,0.00952773192278
559000000,0.010152968583
578000000,0.00928855438275
578000000,0.008399011215
578000000,0.0075095865485
610000000,0.00685514314932
610000000,0.00624635043442
628000000,0.00542853964792
638000000,0.00466215773005
649000000,0.0039534175145
649000000,0.00330592177111
672000000,0.00367763261605
682000000,0.00309510683343
688000000,0.00256600101628
702000000,0.00356420907855
711000000,0.00304844587131
720000000,0.0025732387026
730000000,0.0021374024806
741000000,0.0035150854613
752000000,0.00306361881054
757000000,0.0026366147588
769000000,0.00223826101555
780000000,0.0486834437007
793000000,0.0456001078164
800000000,0.0421456959486
809000000,0.0384768771348
819000000,0.0639065486164
830000000,0.0583756770092
837000000,0.0527076095266
847000000,0.0470582338876
858000000,0.0419950105352
870000000,0.0510024059691
879000000,0.0450533647997
890000000,0.0453140346889
900000000,0.0395997401547
909000000,0.0342083429837
921000000,0.0291924786161
930000000,0.0245848152169
941000000,0.0180470087407
951000000,0.01444811436
960000000,0.0112880783034
968000000,0.00217857816549
982000000,0.0001729810716
990000000,-0.00141246875366
1001000000,-0.00263056473674
1008000000,-0.0118359538107
1021000000,-0.0120136608185
1029000000,-0.0118859102819
1038000000,-0.0115193316233
1051000000,-0.0109727448814
1061000000,-0.0066148336781
1069000000,-0.00609172055341
1078000000,-0.00554298344053
1090000000,-0.00498613303848
1102000000,-0.00702857053681
1104000000,-0.00635290299837
1117000000,-0.00567793701523
1118000000,-0.00501825003571
1130000000,-0.00438517518862
1151000000,-0.00523867919472
1157000000,-0.00459447069267
1168000000,-0.00398276981984
1182000000,-0.00678606359002
1193000000,-0.00604563249961
1197000000,-0.00532535271056
1211000000,-0.0046368956699
1217000000,-0.0039886734571
1226000000,-0.00577827353886
1238000000,-0.00506966184191
1249000000,-0.00439388810101
1259000000,-0.00375985192325
1259000000,-0.00317264733943
1275000000,-0.00516349803801
1292000000,-0.00452167492662
1299000000,-0.0521685121145
1316000000,-0.0487646531974
1316000000,-0.0449864766891
1331000000,-0.0409985630685
1348000000,-0.0674923962982
1359000000,-0.0614242460845
1366000000,-0.0552632961558
1372000000,-0.0491663779896
1372000000,-0.0649609813717
1385000000,-0.0579984510772
1392000000,-0.0512087121022
1408000000,-0.0447082228193
1421000000,-0.038580725808
1431000000,-0.032884188866
1439000000,-0.0447619515355
1446000000,-0.0389441251521
1457000000,-0.033483104171
1471000000,-0.0396719426818
1492000000,-0.03438617243
1492000000,-0.0294473884982
1493000000,-0.024892584707
1511000000,-0.0299701770539
1517000000,-0.0257156651032
1531000000,-0.0217824296569
1539000000,-0.0181913194523
1551000000,-0.01916734051
1566000000,-0.0160012256131
1572000000,-0.0131452058309
1581000000,-0.0130802728375
1586000000,-0.0106864269293
1607000000,-0.00855804513426
1611000000,-0.00668652873982
1621000000,-0.00457458046259
1630000000,-0.00320491985643
1630000000,-0.00205217145698
1651000000,-0.00109617610222
1661000000,-0.000316504656567
1672000000,0.00253239550622
1682000000,0.00288116217246
1695000000,0.00678577985932
1700000000,0.00665727104223
1713000000,0.00640768694187
1739000000,0.00606820850846
1739000000,0.00566543570771
1746000000,0.00522171251441
1753000000,0.00900722332149
1764000000,0.0082779970333
1774000000,0.00751791724922
1782000000,0.00675040142222
1791000000,0.0109412125757
1801000000,0.00988122874017
1812000000,0.00882419387892
1822000000,0.0134347162827
1825000000,0.0120782602423
1838000000,0.010737961724
1847000000,0.00944041060591
1854000000,0.0149099559648
1866000000,0.0133492433173
1874000000,0.0118192571991
1874000000,0.0103475416518
1901000000,0.01514381914
1913000000,0.0134638530173
1916000000,0.0118367383092
1916000000,0.01028797358
1941000000,0.0153625195137
1950000000,0.013661413659
1956000000,0.012013864984
1958000000,0.0104444483049
1958000000,0.00897162843198
1985000000,-0.00460069331987
1997000000,-0.00508291815621
1997000000,-0.00535142644749
2019000000,-0.00903767941044
2030000000,-0.00879221957883
2038000000,-0.00840442758004
2038000000,-0.00791382718726
2039000000,-0.00670523551838
2070000000,0.0146977662109
2077000000,0.0138932285541
2089000000,0.0129455628119
2101000000,0.0287892474854
2111000000,0.0266865222694
