%time,field
2000000,0.0
16000000,-6.44259868077e-26
26000000,1.6842604481e-21
35000000,3.24275403755e-22
42000000,1.39341625402e-21
59000000,-4.2182111628e-22
82000000,5.26420095498e-23
82000000,-4.2891001596e-22
118000000,2.98523472548e-22
118000000,-5.83932184847e-22
123000000,-1.0415891722e-21
139000000,9.62456717456e-16
151000000,-2.66885197366e-12
169000000,8.167117816e-12
169000000,-0.00159531684244
172000000,0.00353403714615
182000000,-0.00347714939815
192000000,0.00356909686015
202000000,-0.00342674157255
205000000,0.00345167769834
220000000,-0.00324376400117
231000000,0.0677050421285
241000000,0.0582022092561
251000000,0.0659515750266
263000000,0.0556316361674
273000000,0.0546946054529
281000000,0.0459949771623
291000000,0.0428937505188
301000000,0.0377584314835
312000000,0.0344276299207
321000000,0.0277443854549
329000000,-0.0230471654332
341000000,-0.0243062035821
351000000,-0.0274084081836
362000000,-0.0317039666145
369000000,-0.0331965965019
378000000,-0.0296017296776
391000000,-0.0392318504467
402000000,-0.0355595402195
411000000,-0.0328791420733
421000000,-0.0318024881494
429000000,-0.0283365236112
441000000,-0.0261191579223
451000000,-0.0225872878481
458000000,-0.0204644688027
470000000,-0.0176774130047
478000000,-0.0150138156711
478000000,-0.0125789283353
481000000,-0.0103787423768
509000000,-0.00949419757307
521000000,-0.00768599694377
524000000,-0.00608911501944
524000000,-0.00469447262468
547000000,-0.00501376820955
562000000,-0.0038952573183
562000000,-0.0029266155133
580000000,-0.00209773568091
592000000,-0.00284384231394
597000000,-0.00216814151653
610000000,-0.00158689947115
625000000,-0.0010933613584
638000000,-0.000679888850359
647000000,-0.00146648578162
652000000,-0.00111485930372
662000000,-0.00186168845495
670000000,-0.00154657331859
685000000,-0.00126350902968
685000000,-0.00101203877838
700000000,-0.00123052175134
710000000,-0.00100986238132
718000000,-0.000813273123917
729000000,-0.000639842542133
741000000,-0.000888409722056
749000000,-0.000731797888028
760000000,-0.000591892562153
769000000,-0.000468332124177
781000000,-0.000759155705252
791000000,-0.00064293402345
800000000,-0.000536968200433
804000000,-0.000441347967128
821000000,-0.00035603392579
830000000,-0.000648561938933
839000000,-0.000558476429069
851000000,-0.00047477864613
859000000,-0.000398245909734
871000000,-0.000328958528417
879000000,-0.000266924319719
886000000,-0.000569675193213
894000000,-0.000498252376489
904000000,-0.000872768639793
919000000,-0.000798082604788
921000000,-0.000710451496764
935000000,-0.000625423795073
947000000,-0.000824406311207
959000000,-0.000731458181659
964000000,-0.000641808107762
964000000,-0.000556756007819
964000000,-0.000477112419342
964000000,-0.000403715680563
1007000000,-0.000648845352213
1014000000,-0.00056979762282
1015000000,-0.000886076617787
1028000000,-0.000792840206269
1051000000,-0.000701612378772
1058000000,-0.000873556646863
1072000000,-0.000776170883059
1083000000,-0.000682106447963
1085000000,-0.000592715090572
1096000000,-0.000509013459412
1106000000,-0.000431669736353
1121000000,-0.000655770556759
1123000000,-0.000574403816791
1125000000,-0.000497445558303
1151000000,-0.000706887338743
1160000000,-0.000625454406192
1161000000,-0.000547361360652
1178000000,-0.000473616344446
1190000000,-0.000639716144298
1197000000,-0.000561578624114
1197000000,-0.000487520626108
