%time,field
2000000,0.0
16000000,-1.05760820689e-27
26000000,-1.50890888071e-26
35000000,-9.26955058624e-25
42000000,-3.14958933436e-24
59000000,-3.67812491038e-25
82000000,2.61162040453e-27
82000000,1.43901593608e-24
118000000,7.24866629376e-25
118000000,4.94286366972e-24
123000000,7.06070981673e-24
139000000,4.1842744177e-19
151000000,3.81257557618e-15
169000000,-7.60282719826e-16
169000000,2.23857368408e-07
172000000,1.04535735286e-06
182000000,8.17645645823e-07
190000000,1.51363060578e-06
203000000,1.15783715382e-06
205000000,1.73874534936e-06
220000000,1.3349008933e-06
231000000,-0.000473686356565
240000000,-0.000925744678608
251000000,-0.00135040745665
251000000,-0.00174317014652
273000000,-0.00159471864106
278000000,-0.00131144527748
285000000,-0.00102994268307
285000000,-0.0007548787237
305000000,-0.000493207350188
321000000,-0.000245857752881
331000000,-3.37489448431e-05
340000000,8.89413563959e-05
348000000,0.000195300604456
360000000,0.000166043506242
367000000,4.54567818402e-05
381000000,-7.30447739043e-05
390000000,-0.000154527935884
401000000,-0.000194051776662
412000000,-0.000235121552328
421000000,-0.000249986168358
430000000,-0.000250712039999
441000000,-0.000250438008438
442000000,-0.000249753519668
457000000,-0.000241962553557
469000000,-0.000225809022883
477000000,-0.00020989963177
480000000,-0.000194769931002
480000000,-0.000180600216064
511000000,-0.000164069489002
521000000,-0.000148523405838
524000000,-0.000134415415875
524000000,-0.000121757990892
545000000,-0.000110480269948
562000000,-0.000100539311876
565000000,-9.1917795872e-05
566000000,-8.45321622023e-05
592000000,-7.82326640635e-05
600000000,-7.29613011675e-05
610000000,-6.8628736239e-05
625000000,-6.51353339077e-05
638000000,-6.23830971124e-05
647000000,-5.94862363032e-05
652000000,-5.71956015971e-05
662000000,-5.51404450291e-05
673000000,-5.24212796535e-05
685000000,-5.017901269e-05
691000000,-4.83635736227e-05
701000000,-4.56205356804e-05
711000000,-4.31450144826e-05
720000000,-4.10493723928e-05
728000000,-3.92987670457e-05
735000000,-3.64746044294e-05
745000000,-3.40143305488e-05
759000000,-3.1896841953e-05
764000000,-3.00972485777e-05
781000000,-2.8185322334e-05
792000000,-2.56480064283e-05
800000000,-2.34288209633e-05
809000000,-2.15111093924e-05
820000000,-1.98748521037e-05
829000000,-1.73002639561e-05
836000000,-1.50310595806e-05
848000000,-1.30533867494e-05
860000000,-1.13518283557e-05
871000000,-9.90708846838e-06
881000000,-8.69837991718e-06
888000000,-6.85465030682e-06
896000000,-5.04860264017e-06
906000000,-3.4797409174e-06
921000000,-1.00953202132e-06
928000000,1.3074059849e-06
941000000,3.34983185762e-06
951000000,5.49710670121e-06
961000000,7.73342872704e-06
970000000,9.69344663389e-06
981000000,1.13931255595e-05
981000000,1.28493266447e-05
997000000,1.40797698232e-05
1006000000,1.54889338204e-05
1014000000,1.70642101189e-05
1027000000,1.88032013632e-05
1038000000,2.08730434112e-05
1050000000,2.27001117951e-05
1061000000,2.4405322e-05
1072000000,2.63127767717e-05
1081000000,2.79827591219e-05
1091000000,2.94277958859e-05
1099000000,3.06625871633e-05
1110000000,3.17037651014e-05
1120000000,3.28317870352e-05
1132000000,3.40434379241e-05
1139000000,3.50822158347e-05
1150000000,3.60066618965e-05
1161000000,3.71775634004e-05
1171000000,3.81898248164e-05
1180000000,3.9054068715e-05
1192000000,4.00829329474e-05
1202000000,4.10430249049e-05
1208000000,4.18678372007e-05
1208000000,4.25688833191e-05
1228000000,4.31969776869e-05
1235000000,4.38766266515e-05
1249000000,4.44514979268e-05
1259000000,4.49495704191e-05
1272000000,4.53722995776e-05
1281000000,4.57154575032e-05
1289000000,4.59901517294e-05
1301000000,4.6205362815e-05
1312000000,4.63681658754e-05
1320000000,4.63653270873e-05
1325000000,4.6318180307e-05
1339000000,4.62471417124e-05
1350000000,4.58701137382e-05
1361000000,4.54295248271e-05
1362000000,4.50079467563e-05
1381000000,4.46103202099e-05
1388000000,4.37108039574e-05
1401000000,4.27478204107e-05
1412000000,4.1858759614e-05
1418000000,4.10471000763e-05
1430000000,3.97977618302e-05
1440000000,3.8323585359e-05
1449000000,3.69836302116e-05
1460000000,3.57786955537e-05
1471000000,3.42173544434e-05
1480000000,3.20974916702e-05
1488000000,3.01763848187e-05
1501000000,2.84549464831e-05
1510000000,2.55042304038e-05
1518000000,2.2829870386e-05
1528000000,1.98977597446e-05
1540000000,1.60527982216e-05
1552000000,1.25796394123e-05
1561000000,9.47675857171e-06
1562000000,6.73428967247e-06
1575000000,4.33897192621e-06
1585000000,1.65044620942e-06
1600000000,-2.09013506199e-06
1621000000,-5.42453759531e-06
1634000000,-8.36469516368e-06
1634000000,-1.0928991182e-05
1646000000,-1.31405770246e-05
1646000000,-1.50238344256e-05
1661000000,-1.91928995498e-05
1670000000,-2.579269711e-05
1685000000,-3.17965465921e-05
1696000000,-3.71965426766e-05
1702000000,-4.20004014241e-05
1711000000,-4.83689646698e-05
1721000000,-5.42918106096e-05
1755000000,-5.95367296539e-05
1755000000,-6.41294149345e-05
1772000000,-6.81055436432e-05
1772000000,-7.43797379682e-05
1788000000,-7.67720317665e-05
1792000000,-7.95935030411e-05
1802000000,-8.56670196443e-05
1813000000,-9.28048936081e-05
1823000000,-0.000101414359092
1831000000,-0.000110098820275
1841000000,-0.000117890324052
1862000000,-0.000124803866174
1862000000,-0.000130871176262
1870000000,-0.00013833438463
1882000000,-0.000145833767895
1890000000,-0.000152431106369
1899000000,-0.000158179261223
1910000000,-0.000165767173301
1921000000,-0.000173076001804
1928000000,-0.000179483705199
1940000000,-0.000186388874222
1946000000,-0.000194369283857
1959000000,-0.000201401999793
1964000000,-0.000207529180666
1982000000,-0.000212805475554
1991000000,-0.000219542732309
2001000000,-0.000226350816021
2007000000,-0.000232294662367
2016000000,-0.000238905506947
2022000000,-0.000246115753652
2035000000,-0.000252439360862
2047000000,-0.000257921752055
2048000000,-0.000264733015972
2063000000,-0.000271199627059
2075000000,-0.000276830527455
2088000000,-0.000282347140944
2101000000,-0.0002886007211
2111000000,-0.0002940501533
2122000000,-0.000298742030875
2128000000,-0.000302731549944
2140000000,-0.000306431043936
2153000000,-0.000310901191552
2161000000,-0.000314744204794
2171000000,-0.000318006470832
2177000000,-0.000321394215459
2190000000,-0.000324682210309
2205000000,-0.000327467457296
2212000000,-0.000329794842997
2237000000,-0.000331709727229
2237000000,-0.000333256846589
2237000000,-0.000334479552878
2251000000,-0.000335700351905
2256000000,-0.000336699682476
2272000000,-0.000337175943953
2281000000,-0.00033746828402
2294000000,-0.000337610408185
2299000000,-0.000337631170857
2304000000,-0.000337280712167
2322000000,-0.000335816697368
2332000000,-0.000334149122805
2342000000,-0.000330526595502
2352000000,-0.000327112145076
2363000000,-0.000323939631167
2371000000,-0.000321029481009
2379000000,-0.00031839163007
2389000000,-0.000313858108444
2397000000,-0.000308815539958
2409000000,-0.00030423331003
2420000000,-0.000300114278971
2430000000,-0.000296015545393
2439000000,-0.000288552890363
2448000000,-0.000281775896414
2460000000,-0.000272956361164
2472000000,-0.000262313921475
2479000000,-0.000252679488849
2479000000,-0.000244052419361
2500000000,-0.000236411122343
2501000000,-0.000229719904841
2520000000,-0.000217929889431
2523000000,-0.000207342768311
2523000000,-0.00019794068009
2543000000,-0.000189681672992
2559000000,-0.000180050687524
2566000000,-0.000165993147161
2566000000,-0.000153381215733
2592000000,-0.000140400521497
2601000000,-0.000121910624183
2610000000,-0.000105272608136
2619000000,-8.84968966129e-05
2632000000,-6.59377860704e-05
2641000000,-4.56677580596e-05
2649000000,-2.76541203237e-05
2660000000,-4.58254044864e-06
2671000000,1.9004151755e-05
2682000000,3.99604531181e-05
2692000000,5.83742501608e-05
