%time,field0,field1,field2,field3,field4,field5,field6,field7
1040000000,0.000925880498008,6.14778194677e-06,0.000919035830403,5.48590795951e-06,-10.841328943,-10.8411362425,-2.57154395751e-05,-0.000121422128475
1090000000,0.000893402524373,6.00422932675e-06,0.000886774523488,5.33541373466e-06,-17.1555782263,-17.1553526789,-2.99604492208e-05,-0.000122041610217
1124000000,0.000857801416446,6.04216016949e-06,0.000851396931511,5.36642156371e-06,-20.0,-20.0,-3.3656547099e-05,-0.000122651327419
1161000000,0.000827173054777,5.99758600458e-06,0.000820990821151,5.31455706846e-06,-20.0,-20.0,-3.67325949168e-05,-0.00012345280241
1212000000,0.000797815993601,5.97107343635e-06,0.000791853230179,5.28043291793e-06,-20.0,-20.0,-3.90228940805e-05,-0.000124240743845
1251000000,0.000771338413086,5.95913769879e-06,0.000765588430348,5.26036051204e-06,-20.0,-20.0,-4.03505236851e-05,-0.000125004946066
1289000000,0.000748000683195,5.93211114468e-06,0.000742454046595,5.22464568909e-06,-20.0,-20.0,-4.05347831182e-05,-0.000125732701128
1325000000,0.000727398477361,5.88679547424e-06,0.000722044877273,5.17008976482e-06,-20.0,-20.0,-3.94438091571e-05,-0.000126384854447
1361000000,0.000709083289184,5.82528726729e-06,0.000703911794978,5.0988348267e-06,-19.7975180433,-19.7974870981,-3.69641927571e-05,-0.000126911438867
1406000000,0.000691057069306,5.68394748637e-06,0.00068605684993,4.94730032694e-06,-19.0753358543,-19.0752747201,-3.30085959667e-05,-0.000127240366668
1445000000,0.000673053102335,5.52227235592e-06,0.000668307897213,4.77976430568e-06,-18.6744663709,-18.6743760977,-2.75016240028e-05,-0.000127317461533
1491000000,0.000655877437146,5.35496746965e-06,0.00065138351901,4.60339281921e-06,-18.5608579283,-18.56073972,-2.04367731735e-05,-0.000127134931774
1530000000,0.00063999317402,5.21132958731e-06,0.000635711429393,4.44933232824e-06,-18.6799078142,-18.679762984,-1.1872513712e-05,-0.000126655449651
