%time,field0,field1,field2,field3
53000000,0.0522828168513,0.00856857276174,3.17259878256,7.9314969564
62000000,0.300371348712,0.0492275265945,18.2269784344,45.5674460861
82000000,0.390167211301,0.063944070741,23.6759244072,59.1898110181
109000000,0.390167211301,0.063944070741,23.6759244072,59.1898110181
159000000,0.390167292078,0.0639441865789,23.6759367006,59.1885727555
167000000,0.402929586989,0.0624100184921,23.6512733084,59.5004153921
223000000,0.398648487524,0.0629251553946,23.6595098145,59.3992073773
282000000,0.26213508972,0.0411210104176,15.6462762775,38.9850902279
320000000,-0.383770375698,-0.0647102508641,-23.6882775139,-59.0350496732
364000000,-0.385953942862,-0.0644478335535,-23.684063843,-59.0877985717
405000000,-0.386847734272,-0.0643407626238,-23.6823647592,-59.1067973471
431000000,-0.386864771614,-0.0643387853332,-23.6823323094,-59.1071696692
470000000,-0.386943975439,-0.0643297859894,-23.6821810112,-59.1089204261
530000000,-0.387315691623,-0.0642857356171,-23.6814686836,-59.1173664332
574000000,-0.387493218617,-0.0642648381568,-23.681129427,-59.1213054544
621000000,-0.387572859175,-0.0642555168681,-23.6809767085,-59.1231318206
665000000,-0.387654072642,-0.0642458822132,-23.6808196492,-59.1251348868
688000000,-0.387868725405,-0.0642201738418,-23.6804050342,-59.130348949
721000000,-0.387968502116,-0.064208199018,-23.6802116832,-59.1328487375
765000000,-0.388057090834,-0.0641975555966,-23.6800401215,-59.1350554729
798000000,-0.388186641933,-0.0641819840607,-23.6797894365,-59.1382543348
840000000,-0.388265510891,-0.0641724821949,-23.6796359943,-59.1402912684
892000000,-0.388342713157,-0.0641631762092,-23.6794854656,-59.142318484
921000000,-0.348610967744,-0.0576245120842,-21.2592424193,-53.1020613476
985000000,-0.2295909312,-0.0380937725043,-14.0290694049,-35.0348045315
1002000000,-0.0577325004243,-0.00990294802978,-3.59310989886,-8.95173933133
1047000000,0.148050472156,0.023842091574,8.89974214178,22.2751225981
1079000000,0.35053701066,0.0570452265688,21.1918424689,53.0010559451
1123000000,0.391604123518,0.0637717018091,23.6731259327,59.2264528745
1159000000,0.391560709031,0.0637769439596,23.6732128267,59.2250903562
1204000000,0.391517817024,0.063782123722,23.6732987132,59.2237401271
1251000000,0.391482652028,0.0637863772291,23.6733697302,59.2225726614
1292000000,0.383523079089,0.0624917309929,23.1927670389,58.0192193617
1329000000,0.382861847728,0.0623924230734,23.1548123804,57.9227013716
1370000000,0.365171858827,0.0595242382972,22.1000655592,55.256093861
