%time,field.x,field.y,field.z
9000000,0.0,0.0,3.0
300000000,0.0,0.0,3.0
504000000,0.0,0.0,3.0
921000000,0.0,0.0,3.0
1194000000,0.0,0.0,3.0
1457000000,0.0,0.0,3.0
1869000000,0.0,0.0,3.0
2183000000,0.0,0.0,3.0
2508000000,0.0,0.0,3.0
2901000000,0.0,0.0,3.0
3233000000,0.0,0.0,3.0
3617000000,0.0,0.0,3.0
3959000000,0.0,0.0,3.0
4381000000,0.0,0.0,3.0
4680000000,0.0,0.0,3.0
4999000000,0.0,0.0,3.0
5310000000,0.0,0.0,3.0
5643000000,0.0,0.0,3.0
5876000000,0.0,0.0,3.0
6227000000,0.0,0.0,3.0
6542000000,0.0,0.0,3.0
6824000000,0.0,0.0,3.0
7090000000,0.0,0.0,3.0
7561000000,0.0,0.0,3.0
7852000000,0.0,0.0,3.0
8179000000,0.0,0.0,3.0
8605000000,0.0,0.0,3.0
8838000000,0.0,0.0,3.0
9271000000,0.0,0.0,3.0
9537000000,0.0,0.0,3.0
9802000000,0.0,0.0,3.0
10180000000,0.0,0.0,3.0
10437000000,0.0,0.0,3.0
10874000000,0.0,0.0,3.0
11163000000,0.0,0.0,3.0
11515000000,0.0,0.0,3.0
11854000000,0.0,0.0,3.0
12185000000,0.0,0.0,3.0
12528000000,0.0,0.0,3.0
12842000000,0.0,0.0,3.0
13257000000,0.0,0.0,3.0
13534000000,0.0,0.0,3.0
13951000000,0.0,0.0,3.0
14194000000,0.0,0.0,3.0
14565000000,0.0,0.0,3.0
14914000000,0.0,0.0,3.0
15289000000,0.0,0.0,3.0
15658000000,0.0,0.0,3.0
15950000000,0.0,0.0,3.0
16247000000,0.0,0.0,3.0
16509000000,0.0,0.0,3.0
16899000000,0.0,0.0,3.0
17238000000,0.0,0.0,3.0
17578000000,0.0,0.0,3.0
17878000000,0.0,0.0,3.0
18231000000,0.0,0.0,3.0
18465000000,0.0,0.0,3.0
18842000000,0.0,0.0,3.0
19201000000,0.0,0.0,3.0
19485000000,0.0,0.0,3.0
19736000000,0.0,0.0,3.0
19994000000,0.0,0.0,3.0
20443000000,0.0,0.0,3.0
20722000000,0.0,0.0,3.0
21086000000,0.0,0.0,3.0
21424000000,0.0,0.0,3.0
21714000000,0.0,0.0,3.0
22044000000,0.0,0.0,3.0
22341000000,0.0,0.0,3.0
22730000000,0.0,0.0,3.0
23041000000,0.0,0.0,3.0
23322000000,0.0,0.0,3.0
23702000000,0.0,0.0,3.0
24081000000,0.0,0.0,3.0
24342000000,0.0,0.0,3.0
24671000000,0.0,0.0,3.0
24972000000,0.0,0.0,3.0
25269000000,0.0,0.0,3.0
25580000000,0.0,0.0,3.0
25865000000,0.0,0.0,3.0
26148000000,0.0,0.0,3.0
26484000000,0.0,0.0,3.0
26784000000,0.0,0.0,3.0
27170000000,0.0,0.0,3.0
27475000000,0.0,0.0,3.0
27809000000,0.0,0.0,3.0
28117000000,0.0,0.0,3.0
28482000000,0.0,0.0,3.0
28776000000,0.0,0.0,3.0
