%time,field
60000000,-1.24087523199e-16
65000000,-8.74155576328e-17
87000000,-1.15547908287e-16
140000000,-1.6567789844e-16
171000000,0.00172800417402
210000000,-0.00320952047811
250000000,0.000134282947185
290000000,-0.0021549395866
321000000,0.00109135301689
371000000,0.000459991285339
408000000,0.000121897114533
444000000,2.60972355026e-08
489000000,-3.56613765875e-06
531000000,2.22942938943e-05
565000000,4.21645661411e-05
608000000,4.82962832118e-05
658000000,4.24531047687e-05
696000000,3.08430560307e-05
733000000,1.71697698036e-05
778000000,3.00477828371e-06
815000000,-5.23962029353e-05
852000000,-7.2894013576e-05
893000000,-7.8402808716e-05
928000000,-7.72363946573e-05
980000000,-6.76554831615e-05
1004000000,-6.88757771617e-05
1065000000,-7.22837809247e-05
1089000000,-7.42349419836e-05
1173000000,-7.37925974747e-05
1194000000,-6.8327059159e-05
1214000000,-6.51922147227e-05
1250000000,-5.83701572674e-05
1292000000,-4.97419500784e-05
1342000000,-3.78600328226e-05
1361000000,8.56638054748e-05
1409000000,0.000152616587485
1440000000,0.000198213994958
1488000000,0.000215848372336
1535000000,0.000224423585266
1573000000,0.000222410239907
1620000000,0.000210966950792
1648000000,0.000200107100449
1688000000,0.000176788166998
1733000000,0.000175071147417
1767000000,0.000505892016413
1812000000,0.000595431472703
1843000000,0.000598712172925
1884000000,0.00060000412882
1933000000,0.000611401773873
1970000000,0.000631906354841
2018000000,0.000657447851168
2058000000,0.000684318090588
2082000000,-0.000294010063021
2126000000,-0.000515485779015
2175000000,-0.000540942200156
2206000000,-0.000550607466162
2250000000,-0.000598262006874
2294000000,-0.000683760018061
2335000000,-0.000799992752005
2367000000,-0.00206548390057
2408000000,-0.00268182117487
2447000000,-0.00299695615794
2493000000,-0.00300118823939
2533000000,-0.00289237422626
2572000000,-0.00266233551516
2610000000,-0.00232139985448
2661000000,-0.00226656096208
2696000000,-0.00227161479834
2736000000,-0.00225542693174
2767000000,-0.00219873137309
2811000000,-0.00210117719462
2860000000,-0.000628110659413
2896000000,0.000439803825532
2928000000,0.00110936069368
2975000000,0.00161117969927
3011000000,0.00191129706799
3057000000,0.00211677610117
3088000000,0.000770345953683
3143000000,0.000539788547656
3175000000,0.000663873106467
3213000000,0.000873526663149
3263000000,0.00108425890589
3297000000,0.00129339073345
3336000000,0.00221201283158
3373000000,0.00263149492687
3420000000,0.00275063807096
3450000000,0.00265403119921
3490000000,0.0024098412997
3541000000,0.0021049115141
3580000000,0.00249653134202
3609000000,0.00265526401341
3644000000,0.0026545615644
3682000000,0.0010694143514
3740000000,8.76654227674e-06
3768000000,-0.000837061426216
3812000000,-0.00133424062635
3842000000,-0.00179840180983
3884000000,-0.00204106458156
3932000000,-0.00225239627418
3973000000,-0.00232625302239
4010000000,-0.000966224442568
4056000000,-0.000707041814924
4094000000,-0.000821852590477
4129000000,-0.00101459655865
4167000000,-0.00120935935993
4203000000,-0.00140097635731
4261000000,-0.00160062096694
4288000000,-0.00180718268216
4324000000,-0.00201247130835
4364000000,-0.00220784845351
4406000000,-0.00228475089256
4444000000,-0.00215708357259
4500000000,-0.00188942741542
4521000000,-0.00154483479067
4571000000,-0.000923528581826
4605000000,-0.000419045511391
4653000000,7.10574306496e-05
4697000000,0.000450823144022
4725000000,0.000837700148825
4766000000,0.00111893645295
4811000000,0.0013724863905
4848000000,0.00156048382321
4888000000,0.00169725608617
4926000000,0.00180176661032
4966000000,0.000612226289625
5006000000,0.000377318356185
5051000000,0.000460711730629
5084000000,0.00062483221076
5125000000,0.000805711920534
5194000000,0.000997600361906
5202000000,0.00202245485094
5261000000,0.00247304550055
5289000000,0.00263051260859
5338000000,0.00223703977274
5363000000,0.00224358387087
5409000000,0.00236516254657
5457000000,0.00247749915283
5495000000,0.00254362286586
5534000000,0.00255390752304
5573000000,0.00249957020624
5605000000,0.000765905132204
5647000000,-0.000368920514359
5695000000,-0.00114149367743
5734000000,-0.00169174156749
5777000000,-0.00190400760324
5806000000,-0.00209306192713
5883000000,-0.00220018159853
5896000000,-0.0022143498812
5933000000,-0.00212315290892
5987000000,-0.00204168367785
6011000000,-0.00128673879821
6050000000,-0.00115657977285
6079000000,-0.00121720251193
6125000000,-0.00130784095971
6169000000,-0.00129653657886
6217000000,-0.00120213695931
6242000000,-0.00104824403168
6298000000,-0.000870441236292
6331000000,-0.000665295407067
6369000000,-0.0012355649022
6409000000,-0.00139648968516
6440000000,-0.00139505134213
6485000000,-0.00132857859309
6540000000,-0.00122538100821
6578000000,-0.0010830423808
6608000000,-0.000899022615074
6652000000,0.00101884153221
6687000000,0.00224628303094
6736000000,0.00290392301819
6772000000,0.00326272885133
6803000000,0.00334733239732
6849000000,0.00325897230094
6884000000,0.00221987937991
6928000000,0.00206333410356
6972000000,0.00214889233297
7016000000,0.00225374365787
7047000000,0.0018495066564
7096000000,0.00149071214531
7138000000,0.0010542287779
7177000000,0.00067022923013
7217000000,0.000271369699245
7257000000,-6.98341131215e-05
7289000000,-0.000394764911584
7323000000,-0.000678223880212
7401000000,0.000609219904877
7419000000,0.00120048994616
7463000000,0.000899016128615
7496000000,0.000608571830633
7531000000,0.000373657509605
7589000000,-0.00145494366601
7602000000,-0.00302983469844
7656000000,-0.00338375333058
7688000000,-0.00348041452228
7746000000,-0.00216561189913
7777000000,-0.00196817305132
7827000000,-0.00214896490706
7854000000,-0.00237025987508
7897000000,-0.00253824243631
7931000000,-0.00265389137772
7968000000,-0.00272947120432
8008000000,-0.0027675349629
8048000000,-0.00159512534195
8089000000,-0.000742323869532
8150000000,-3.0525210364e-05
8175000000,0.000705084964119
8212000000,0.00110952607998
8261000000,0.00137320338212
8297000000,0.00164889530712
8329000000,0.00180332095431
8378000000,0.00193943011218
8420000000,0.000556493557705
8444000000,0.000272145169603
8496000000,0.000376597095457
8529000000,0.000566059761711
8579000000,0.00076368695868
8628000000,0.000970466451195
8652000000,0.00124482561057
8677000000,0.00227418770594
8723000000,0.00280365356563
8770000000,0.00295247107872
8801000000,0.00255379212362
8852000000,0.00257160419522
8890000000,0.00269590867382
8929000000,0.00280529875455
8963000000,0.00285971796678
9025000000,0.002853201564
9052000000,0.00121466199555
9087000000,-3.77581236928e-06
9130000000,-0.000789410029747
9164000000,-0.00141755268692
9202000000,-0.0018125319944
9248000000,-0.00210837667503
9288000000,-0.002281640096
9325000000,-0.00236110580327
9374000000,-0.00239473817528
9417000000,-0.00232863149715
9444000000,-0.00133228022275
9495000000,-0.00115321201124
9528000000,-0.00122751252477
9571000000,-0.00135439069707
9605000000,-0.00147982598078
9668000000,-0.0016824850411
9685000000,-0.00169644691303
9737000000,-0.00158728988552
9764000000,-0.00140583996819
9809000000,-0.00179046536807
9850000000,-0.00192985607314
9890000000,-0.00195396997247
9922000000,-0.00191756115861
9977000000,-0.00183382101663
10025000000,-0.00012917801424
10055000000,0.00104987491489
10091000000,0.00180350986672
10124000000,0.00225424336288
10163000000,0.00253649072341
10207000000,0.00261145702517
10253000000,0.00120677175489
10289000000,0.000947497520945
10337000000,0.0010678538296
10374000000,0.00125362875968
10429000000,0.00142192337474
10447000000,0.00199905011244
10498000000,0.00204971292087
10528000000,0.00194920360894
10567000000,0.00174264055503
10630000000,0.0014686667269
10651000000,0.00109908936419
10692000000,0.000788698172383
10724000000,0.00160499010071
10777000000,0.00181707071253
10802000000,0.00179212845789
10868000000,0.00167336750276
10882000000,-0.000218461497523
10928000000,-0.00139709562991
10965000000,-0.00216799403426
11012000000,-0.00255640999711
11055000000,-0.0028320633926
11093000000,-0.00287445915237
11133000000,-0.00155113682177
11173000000,-0.00132318636165
11217000000,-0.00144226037524
11256000000,-0.00161979193387
11306000000,-0.00178294214748
11354000000,-0.00192550636985
11365000000,-0.00209173849827
11416000000,-0.00218412799142
11446000000,-0.00192802503796
11509000000,-0.00160487751736
11529000000,-0.00125049099113
11569000000,-0.000878033841888
11620000000,-0.000522596032757
11659000000,-0.000167818091835
11688000000,-0.00133432320043
11753000000,-0.00160338380244
11776000000,-0.00153606799879
11804000000,-0.00135033137963
11847000000,0.000751306238185
11898000000,0.00176198619773
11937000000,0.0024207619416
11971000000,0.00271897378842
12025000000,0.0028545964231
12049000000,0.00283631168408
12085000000,0.00177471515228
12147000000,0.00163310186251
12180000000,0.00175863180467
12210000000,0.00191995664455
12253000000,0.00205166565304
12301000000,0.00215133390763
12352000000,0.00224834481995
12367000000,0.00150769579322
12411000000,0.000915531686483
12460000000,0.000408764221945
12487000000,-1.42751213205e-05
12521000000,-0.000363088759056
12567000000,-0.000680256626067
12607000000,0.000684605364923
12645000000,0.000980575659025
