%time,field.layout.data_offset,field.data0,field.data1
39000000,0,-429.95943108,-429.95943108
84000000,0,-429.95943108,-429.95943108
120000000,0,-429.95943108,-429.95943108
159000000,0,-371.216243984,-371.216243985
198000000,0,-316.768957666,-316.768957666
234000000,0,-270.369712366,-270.369712366
280000000,0,-178.168200706,-178.168602557
319000000,0,-100.50783594,-100.508580233
361000000,0,-65.1211545068,-65.122339345
401000000,0,-43.1854265194,-43.1870579828
435000000,0,-24.9860915937,-24.9880935827
479000000,0,11.1088686406,11.106446472
518000000,0,42.1327543296,42.1299774286
562000000,0,68.9521825436,68.9490404386
601000000,0,88.0095010175,88.0060957036
639000000,0,108.049277019,108.045594927
680000000,0,114.83382595,114.829905831
719000000,0,120.03052991,120.02641162
761000000,0,101.747033656,102.281932898
801000000,0,86.0021242354,86.4589993464
839000000,0,72.2128985224,72.6014409189
878000000,0,44.140943715,44.4700643762
911000000,0,20.6654974685,20.9464640795
954000000,0,1.12533640913,1.36940940681
999000000,0,-20.34202782,-20.1383847601
1040000000,0,-36.8066537065,-36.6340188218
1080000000,0,-42.4667153607,-42.3194479959
1133000000,0,-46.8856966298,-46.7610106975
1172000000,0,-39.741068484,-39.6411352458
1195000000,0,-37.6863844393,-37.5920653969
1221000000,0,-31.7722666768,-31.6941073035
1280000000,0,-22.4903746914,-22.4219627387
1321000000,0,-12.689169795,-12.6302427701
1359000000,0,-6.25366371921,-6.20214902322
1399000000,0,-0.694638595594,-0.649601473439
1440000000,0,4.04245015756,4.08196745668
1480000000,0,6.69117876346,6.7260549105
1516000000,0,8.85540343607,8.88643287204
1560000000,0,4.75033848509,4.77815894185
1598000000,0,0.922033763552,0.946978994293
1639000000,0,-2.18076650596,-2.1581516094
1677000000,0,-7.67694769961,-7.65646526406
1721000000,0,-12.4261905307,-12.4075274206
1756000000,0,-19.4401408589,-19.3506270273
1800000000,0,-25.5610444832,-25.4835962698
1840000000,0,-30.7769344304,-30.709767859
1879000000,0,-29.9979904283,-29.9395919987
1918000000,0,-29.1925883588,-29.141833713
1961000000,0,-28.1613799725,-28.1169992972
2000000000,0,-27.294555268,-27.255481412
2040000000,0,-26.5353994001,-26.5009732005
2064000000,0,-16.8269607985,-16.7965607433
2119000000,0,-7.87635792984,-7.84939363934
2158000000,0,-5.82557165491,-5.80163501089
2199000000,0,-4.98574304957,-4.96440265359
2237000000,0,-4.2700882135,-4.25096019558
2281000000,0,-5.48728881085,-5.47019059065
2325000000,0,-6.61320049395,-6.59783896596
2359000000,0,-9.22032951769,-9.20660897794
2399000000,0,-11.5651918127,-11.5528816696
2442000000,0,-13.2836230388,-13.272346512
2501000000,0,-12.3951459193,-12.3851522027
