%time,field0,field1,field2,field3
60000000,0.0522828168513,0.00856857276174,3.17259878256,7.9314969564
65000000,0.300371348712,0.0492275265945,18.2269784344,45.5674460861
86000000,0.390167211301,0.063944070741,23.6759244072,59.1898110181
119000000,0.390167211301,0.063944070741,23.6759244072,59.1898110181
169000000,0.390166423144,0.0639433286927,23.6758429527,59.1980580016
204000000,0.392284022651,0.0636879224383,23.6717755027,59.2474043638
243000000,0.3914089275,0.0637946292447,23.6735860847,59.2140529424
286000000,0.226492505397,0.0375874033715,13.8471162465,34.5753545015
327000000,-0.390339403823,-0.0639240358333,-23.6756486543,-59.1883596606
370000000,-0.389711429193,-0.0639988693934,-23.6768310134,-59.1761755472
402000000,-0.390035267577,-0.063959897656,-23.6762070834,-59.1839080385
444000000,-0.390208684401,-0.0639390898616,-23.6758763205,-59.1877035375
488000000,-0.390231000211,-0.0639364374152,-23.6758353293,-59.1880299693
525000000,-0.39021109822,-0.0639388491236,-23.6758742165,-59.1874988803
563000000,-0.390207092208,-0.0639393566237,-23.6758818011,-59.1874137636
611000000,-0.390215293136,-0.0639384038551,-23.6758657618,-59.1876280746
639000000,-0.390224111897,-0.0639373784785,-23.6758486382,-59.1878459177
697000000,-0.390226874888,-0.0639370773405,-23.6758432798,-59.1879100919
730000000,-0.390223882484,-0.0639374607153,-23.6758490381,-59.1878355984
768000000,-0.390217717378,-0.0639382951376,-23.6758686631,-59.1869143842
804000000,-0.390439564826,-0.0639115669804,-23.6754289659,-59.1934114839
846000000,-0.390641040859,-0.0638873849568,-23.675038249,-59.1984430396
880000000,-0.390689670174,-0.0638815703075,-23.6749455507,-59.1994914012
926000000,-0.384080715719,-0.0627684402582,-23.2469160471,-58.1779942604
968000000,-0.295806969055,-0.0482837489076,-17.8707863791,-44.7728380303
1001000000,-0.128284099322,-0.0208454909243,-7.69778911426,-19.3646602105
1054000000,0.0855146687425,0.0142062726909,5.28667523755,13.0761909015
1083000000,0.29488999829,0.0485382402766,18.0015579686,44.8480569427
1164000000,0.389852580759,0.0639817140977,23.6765118185,59.184192585
1191000000,0.38984889814,0.0639821823655,23.6765231635,59.1836954972
1208000000,0.389877937535,0.0639787216249,23.6764719384,59.1839274072
1246000000,0.389921906637,0.0639734686332,23.6763922714,59.1844714465
1288000000,0.389958019703,0.0639691647227,23.6763279672,59.1848033352
1339000000,0.389981801861,0.063966348799,23.6762875825,59.1848245451
1361000000,0.389999319847,0.0639640930502,23.6762395944,59.1866568614
1406000000,0.375244994836,0.0615312528657,22.7785960697,56.9418789437
1440000000,0.348260856236,0.0571070793052,21.1415593521,52.8474847974
1485000000,0.316053175564,0.0518357248369,19.1894035628,47.9646039416
1527000000,0.280436005601,0.0460065406241,17.0304806122,42.5649909861
1566000000,0.257918098725,0.0423196795372,15.6653811448,39.1506641925
1610000000,0.246546511489,0.0404554036972,14.9756635749,37.425276303
1648000000,0.243508047527,0.0399560428362,14.7913920802,36.9638485759
1682000000,0.253669597044,0.0416193700888,15.4079073477,38.5028817762
1728000000,0.274114809904,0.0449809147403,16.651273216,41.6097170147
1765000000,0.308920716387,0.0506892863337,18.7676056267,46.8929869547
1806000000,0.355098777486,0.0582590980655,21.5728611041,53.9000653882
1841000000,0.390037295971,0.0639598369929,23.6761797361,59.1861561154
1881000000,0.390041232701,0.0639593675958,23.6761720452,59.1862535046
1939000000,0.390037225379,0.063959846046,23.676179424,59.1861886871
1966000000,0.390034418313,0.0639601721768,23.6761840027,59.1862053074
2010000000,0.390035569436,0.0639600177645,23.6761804426,59.186367224
2054000000,0.390041598606,0.0639592733817,23.6761670635,59.1866870619
