%time,field0,field1,field2,field3
539000000,-0.391042060946,-0.0638581041251,-23.6742612137,-59.2073481347
579000000,-0.390857628297,-0.0638773924574,-23.6746188289,-59.2028872967
616000000,-0.390710796134,-0.0638930998944,-23.6749027574,-59.1993988084
644000000,-0.390621167072,-0.0639025681179,-23.6750758323,-59.1973028935
691000000,-0.390572453692,-0.0639075050038,-23.6751698487,-59.1961820956
717000000,-0.390544479444,-0.063910165173,-23.6752238843,-59.1955442007
789000000,-0.390534365779,-0.0639107967676,-23.6752435483,-59.1953183445
808000000,-0.390528790466,-0.0639109452624,-23.6752544996,-59.1951919245
851000000,-0.390505344196,-0.0639132753539,-23.6752999577,-59.1946331606
885000000,-0.390487211286,-0.0639150010054,-23.6753353172,-59.1941852073
930000000,-0.390467786955,-0.0639169105612,-23.6753731669,-59.1937053062
975000000,-0.298042041121,-0.0487742253897,-18.0681048703,-45.1747516658
1006000000,-0.128674196597,-0.0210211207124,-7.79176293623,-19.4831670746
1053000000,0.0913651459262,0.0150371088475,5.55955035949,13.8957763959
1096000000,0.321233624879,0.0527081855179,19.5077533407,48.7667424217
1127000000,0.389933391624,0.0639648729567,23.6763444055,59.1876706165
1184000000,0.389942470137,0.063964030561,23.6763262518,59.187938113
1205000000,0.389949855264,0.0639633715794,23.67631136,59.1881667497
1251000000,0.38995740464,0.0639626769682,23.6762961514,59.188399862
1290000000,0.389963194072,0.06396217951,23.676284332,59.1885921262
1337000000,0.389968102728,0.0639617752493,23.6762742367,59.1887614076
1368000000,0.389979804494,0.0639605397442,23.6762503917,59.1891560754
1410000000,0.366292433902,0.0600880871761,22.2428131564,55.6006093378
1464000000,0.324855956615,0.0532996201447,19.7303496971,49.3160403771
1482000000,0.281429682654,0.0461722543846,17.089025886,42.7222833183
1529000000,0.236858857973,0.0388542307719,14.3783612851,35.9536054515
1570000000,0.209597013001,0.0343858461438,12.7215154342,31.8169190495
1606000000,0.196747224509,0.0322794423146,11.9397301755,29.8668032993
1655000000,0.19466953514,0.0319365705244,11.8115917984,29.5501005606
1691000000,0.208892840143,0.0342644418813,12.6727675498,31.7060138186
1731000000,0.236230574105,0.0387420497987,14.3301103285,35.8516801801
1771000000,0.274301611361,0.0449801366022,16.6396365841,41.6264129861
1816000000,0.320483893953,0.0525490020477,19.4417921551,48.6323333399
1889000000,0.373047229762,0.061163018824,22.6311115857,56.6060040755
1931000000,0.389989633205,0.0639610729486,23.6762352512,59.1889057991
1948000000,0.389995530286,0.0639605184016,23.6762303458,59.1883964412
1972000000,0.389750157848,0.0639900132969,23.676711971,59.1818401083
2008000000,0.389836393877,0.0639798031203,23.676551818,59.1832964873
2058000000,0.389785259755,0.0639859595954,23.6766472352,59.1824151059
2090000000,0.389781175538,0.063986485668,23.6766528225,59.1825597299
2133000000,0.38983090773,0.0639805628704,23.6765565406,59.183774281
2180000000,0.389848742706,0.0639784426477,23.6765214195,59.1842658585
2230000000,0.386435907879,0.0634151391627,23.4650903246,58.6639614633
2259000000,0.377797417618,0.0619900602056,22.9360102266,57.3486725917
